topic	link	header	article
artificial-intelligence	/article/deep-learning-versus-human-intelligence	Why Computers Don’t Need to Match Human Intelligence	Speech and language are central to human intelligence, communication, and cognitive processes. Understanding natural language is often viewed as the greatest AI challenge—one that, if solved, could take machines much closer to human intelligence. In 2019, Microsoft and Alibaba announced that they had built enhancements to a Google technology that beat humans in a natural language processing (NLP) task called reading comprehension.  This news was somewhat obscure, but I considered this a major breakthrough because I remembered what had happened four years earlier.In 2015, researchers from Microsoft and Google developed systems based on Geoff Hinton’s and Yann Lecun’s inventions that beat humans in image recognition.  I predicted at the time that computer vision applications would blossom, and my firm made investments in about a dozen companies building computer-vision applications or products. Today, these products are being deployed in retail, manufacturing, logistics, health care, and transportation. Those investments are now worth over $20 billion.So in 2019, when I saw the same eclipse of human capabilities in NLP, I anticipated that NLP algorithms would give rise to incredibly accurate speech recognition and machine translation, that will one day power a “universal translator” as depicted in Star Trek.  NLP will also enable brand-new applications, such as a precise question-answering search engine (Larry Page’s grand vision for Google) and targeted content synthesis (making today’s targeted advertising child’s play).  These could be used in financial, health care, marketing, and consumer applications. Since then, we’ve been busy investing in NLP companies. I believe we may see a greater impact from NLP than computer vision.What is the nature of this NLP breakthrough?  It’s a technology called self-supervised learning.  Prior NLP algorithms required gathering data and painstaking tuning for each domain (like Amazon Alexa, or a customer service chatbot for a bank), which is costly and error-prone. But self-supervised training works on essentially all the data in the world, creating a giant model that may have up to several trillion parameters.  This giant model is trained without human supervision—an AI “self-trains” by figuring out the structure of the language all by itself. Then, when you have some data for a particular domain, you can fine-tune the giant model to that domain and use it for things like machine translation, question answering, and natural dialog. The fine-tuning will selectively take parts of the giant model, and it requires very little adjustment.  This is somewhat akin to how humans first learn a language and then, on that basis, learn specific knowledge or courses. Since the 2019 breakthrough, we have seen giant NLP models increase rapidly in size (about 10 times per year), with corresponding performance improvements.  We have also seen amazing demonstrations—such as GPT-3, which could write in anybody’s style (such as Dr. Seuss-style), or Google Lambda, which converses naturally in human speech, or a Chinese startup called Langboat that generates marketing collateral differently for each person.Are we about to crack the natural language problem? Skeptics say these algorithms are merely memorizing the whole world’s data, and are recalling subsets in a clever way, but have no understanding and are not truly intelligent. Central to human intelligence are the abilities to reason, plan, and be creative. One critique of deep-learning-based systems runs like this: “They will never have a sense of humor. They will never be able to appreciate art, or beauty, or love. They will never feel lonely. They will never have empathy for other people, for animals, or the environment. They will never enjoy music or fall in love, or cry at the drop of a hat.”  Makes sense, right? As it turns out, the quotation above was written by GPT-3. Does the technology’s ability to make such an accurate critique contradict the critique itself?
artificial-intelligence	/article/deepfake-nude-abuse	The Biggest Deepfake Abuse Site Is Growing in Disturbing Ways	A deepfake website that generates “nude” images of women using artificial intelligence is spreading its murky tentacles across the web—spawning look-alike services through partner agreements and recruiting new users through a referral system. The expansion efforts have allowed the service to proliferate despite bans placed on its payment infrastructure.The website, which WIRED is not naming to limit its amplification, has existed since last year. It digitally “removes” clothing from non-nude photos to create nonconsensual pornographic deepfakes. Researchers say its output is “hyper-realistic,” and unlike similar abusive platforms, it can generate pornographic images even when the person in the original photo is fully clothed. Previously, similar technologies have only worked with partially clothed photographs.In recent months the website has expanded its services, earning its creator potentially thousands of dollars. The website has made its algorithms available to “partners” through access to its APIs; and two spin-off websites have been created by other people. The original website has been previously reported on, but the extent of its partner programs has not.The website’s “partner program” page says the scheme was created so that the developer behind the system can “focus more” on AI research, provide customers with alternate payment methods, and create localized-language versions of the site. It claims that having a decentralized model lets it avoid “sudden suspension of service, even termination.”This approach does seem to have helped the website avoid being taken offline. According to data from digital intelligence platform Similarweb, the site had more than 50 million visits between January and the end of October this year, making it the biggest of its kind. “Hundreds of thousands” of images have been uploaded on a single day, the creator has claimed on the website. Its audience peaked in August with 6.92 million views, according to SimilarWeb’s data.“This can have real and devastating consequences.”Seyi Akiwowo, Glitch!The site received attention from the Huffington Post and others at around that time as well, leading to its hosting being taken offline and cryptocurrency platform Coinbase appearing to suspend its payment account. Those restrictions slashed visitor numbers in half, down to 3.14 million visitors in October; 13.93 percent of visitors were in the United States. While it has declined in size, its business partners have grown, helping to keep the abusive technology accessible to millions of people. In October, one of the spin-off websites, according to the SimilarWeb data, recorded approximately 830,000 visitors, while the other had almost 300,000. In the months before, both only recorded tens of thousands of visitors. The original website drives much of this additional traffic.The creator of one of these murky spin-off sites says they are paying around $500 to the original website for the ability to create 10,000 nude images. A counter on the partner website claims to have processed 204,522 images from more than 3,000 paying customers. While the other partner website includes the claim that the AI training data set includes more than 1 million images, it is not clear where these images have come from, with the creator of the original website writing online that the service does not store images or use them for training purposes.Recruiting partners is not the only way the website has sustained itself. Hundreds of links for the website’s referral program—where people receive free image-generation tokens every time someone clicks—are also being shared on Twitter, YouTube, Telegram, and specialized pornographic deepfake forums.
business	/article/fact-checkers-ai-chatgpt-misinformation	Fact-Checkers Are Scrambling to Fight Disinformation With AI	Spain’s regional elections are still nearly four months away, but Irene Larraz and her team at Newtral are already braced for impact. Each morning, half of Larraz’s team at the Madrid-based media company sets a schedule of political speeches and debates, preparing to fact-check politicians’ statements. The other half, which debunks disinformation, scans the web for viral falsehoods and works to infiltrate groups spreading lies. Once the May elections are out of the way, a national election has to be called before the end of the year, which will likely prompt a rush of online falsehoods. “It’s going to be quite hard,” Larraz says. “We are already getting prepared.”The proliferation of online misinformation and propaganda has meant an uphill battle for fact-checkers worldwide, who have to sift through and verify vast quantities of information during complex or fast-moving situations, such as the Russian invasion of Ukraine, the Covid-19 pandemic, or election campaigns. That task has become even harder with the advent of chatbots using large language models, such as OpenAI’s ChatGPT, which can produce natural-sounding text at the click of a button, essentially automating the production of misinformation. Faced with this asymmetry, fact-checking organizations are having to build their own AI-driven tools to help automate and accelerate their work. It’s far from a complete solution, but fact-checkers hope these new tools will at least keep the gap between them and their adversaries from widening too fast, at a moment when social media companies are scaling back their own moderation operations.“The race between fact-checkers and those they are checking on is an unequal one,” says Tim Gordon, cofounder of Best Practice AI, an artificial intelligence strategy and governance advisory firm, and a trustee of a UK fact-checking charity.“Fact-checkers are often tiny organizations compared to those producing disinformation,” Gordon says. “And the scale of what generative AI can produce, and the pace at which it can do so, means that this race is only going to get harder.”Newtral began developing its multilingual AI language model, ClaimHunter, in 2020, funded by the profits from its TV wing, which produces a show fact-checking politicians, and documentaries for HBO and Netflix.Using Microsoft’s BERT language model, ClaimHunter’s developers used 10,000 statements to train the system to recognize sentences that appear to include declarations of fact, such as data, numbers, or comparisons. “We were teaching the machine to play the role of a fact-checker,” says Newtral’s chief technology officer, Rubén Míguez.
business	/article/tech-layoffs-signal-the-end-of-the-office-perk	Tech Layoffs Signal the End of the Office Perk	Until last March, Meta employees in New York didn’t have to worry about food, transport, or laundry. There were shuttle buses waiting to take them home at the end of the day, a free dinner service with complementary to-go boxes, and courtesy laundry pickup. “It’s a very pampered place,” says Devi, a software developer at the company’s Manhattan campus, who asked that his name be changed to avoid jeopardizing his future career. In March, as part of a cost-cutting exercise, the laundry service was taken away, and the daily dinner service was pushed back by half an hour—after the last shuttle was scheduled to leave the campus—meaning that workers had to pick between a free meal and a free ride home. There was an uproar, according to Devi.“It was funny seeing a bunch of well-paid tech folks complain about losing free food,” he says. “Some of them had rented apartments in expensive Manhattan neighborhoods since they had dinner sorted at work—they weren’t happy.”Perks, from state-of-the-art gym facilities to private pop concerts to on-site sushi bars, have become integral to the culture at big technology companies. While they may seem excessive at a time of job losses across the industry, employees expect them, and experts say cutting them could have a real impact on companies’ ability to hire and retain in the future. “The problem for these companies that want to keep their megastars happy is that they’ve become used to amazing packages being offered,” says Grace Lordan, associate professor in behavioral science at the London School of Economics. “It can impact the war on talent: The companies offering the best packages will help get the best employees.” Tech companies began offering perks in an age when the boundaries between workers’ professional and personal lives were eroding. But Silicon Valley went further than ping-pong tables. At Facebook, some employees were provided with on-site meditation centers. Apple workers were given fortnightly “Beer Bash” parties, with the occasional surprise performance from a music legend. And, as a reward for a job well done, Googlers were offered “massage credits”—to be redeemed on campus, of course.The idea wasn’t just to keep workers on campus for as long as possible. “Creativity and innovation often emerge in conducive environments—places where people can interact with joy even during their down time,” says Tomas Chamorro-Premuzic, professor of business psychology at University College London. “Many of the raw ingredients that make up the fabric of creative ideas and successful collaboration emerge not during formal meetings, but during informal encounters, like at the cafeteria or volleyball court.”
business	/article/google-meta-big-tech-is-bad-at-firing	Big Tech Is Really Bad at Firing People	For one Google worker it was when the light on the card reader outside their New York office flashed red, rather than green. For a staffer at Twitter, it was when their password was changed remotely, and an unusual gray screen showed their company Macbook had been locked. For Zac Bowling, a near-eight-year veteran of Google, it was being logged out of all his devices.Tech companies have laid off tens of thousands of workers over the past few months in an industry-wide downsizing that executives have blamed on overhiring during the pandemic. Almost without fail, they’ve handled it horribly, with casual brutality and tone deaf displays—such as at Microsoft, who hosted a private Sting concert at Davos the night before firing 10,000 people.The disparity between Big Tech’s high spending and the callous way in which they have let go of their staff has tarnished their reputation as good employers, and reminded staff that their needs are subordinate to those of shareholders. “Finding out via email or auto shut out that you have lost your job is brutal—and it doesn’t have to be that way,” says Gemma Dale, lecturer at Liverpool Business School, and author of a number of books, including on employee well-being and flexible work. “It also totally disconnects with what many of these organizations say about how much they value their people.” Bowling eventually learned that he had been let go from Google via an email two hours after he was logged out of all his work systems on the morning of January 20. His manager had to use LinkedIn to reach him to apologize, because his access to Google Meet and other internal company communication tools had been cut. It was entirely unexpected—Bowling had gotten a new batch of business cards made in December. Others just received, or were expecting, glowing performance reviews but were instead given severance terms. “It caught everybody off guard,” Bowling says. “It didn’t seem like they were going after low performers, or they were going after specific projects. Someone likened it to if someone had a Tommy gun, and they were just shooting from the hip.” People who are still at the company aren’t sure if they’re next. Bowling said that workers who still have access to the company’s systems told him 8,000 names have disappeared from employee rolls. But Google has said it’s letting go of 12,000 people worldwide. “Everybody’s saying goodbye, just in case, because they don’t know if they’re going to get everything cut off,” Bowling says. “It’s killing morale. It was just handled terribly.”
business	/article/gender-labor-recession	The Workforce Is Failing Women. Business Leaders Can Stop It	The past few years have shone a brighter light on women’s experiences at work: We’re exhausted, we’re underpaid, and we’re constantly battling for basic rights. In fact, we’re well in the depths of a “she-cession”: One in three women are looking to downshift their careers or leave the workforce entirely, joining the millions of women who have already exited these past few years. READ MOREThis story is from the WIRED World in 2023, our annual trends briefing. Read more stories from the series here—or download or order a copy of the magazine.With a global labor shortage and a caregiving crisis continuing to strain workforces, smart leaders will invest in reversing the she-cession by making structural changes in how we work that emphasize flexibility. Failure to do so will push more women to their breaking point, and out of the workplace. But it is not women who are broken, it’s the system. And 2023 will be the year to start fixing it. There’s no question that flexibility matters. When it comes to determining job satisfaction, research by Slack’s Future Forum consortium shows that flexibility ranks second only behind compensation. This is particularly true for parents, especially working mothers. Today, 83 percent of working mums prefer a flexible location model. But, too often, the conversation about flexibility is limited to just the “number of days in the office.” In 2023, the meaning of flexibility will move beyond where you work to when you work. Ninety-five percent of female desk workers want flexibility in their schedules—more choice in how they structure their days aside from the occasional appointment out of the office—and the majority are not getting that option today. With the demand for flexibility clear, and the rate of attrition high, leaders will give employees greater choice in how they work and break away from the traditional, outmoded 9-to-5 model of productivity.This shift to flexibility has numerous benefits: We’re seeing major gains for professional women when it comes to sense of belonging, satisfaction with work, and work-life fluidity. But proximity bias—favoritism for people who work nearby in the office—is a looming risk that leaders must actively negate. Why? Our research shows that women, employees of color, and working mothers are most likely to want to continue to work flexibly, while men, white employees, and non-caregivers are more likely to go back into the office full-time. Left unchecked and without intentional action, disparities in the workplace could deepen, entrenching existing inequities.To combat proximity bias, leaders will become increasingly cognizant of how employee performance is measured during promotion reviews and feedback cycles. Research shows that men are much more likely to receive feedback based on the outcomes they deliver, whereas women’s evaluations are more likely to be rooted in personality traits. In 2023, a growing number of managers will be reskilled to focus on the outcomes that employees are producing instead of outdated measures of work ethic and commitment, like being the “first in and last to leave.” When they get this right, companies will start to see the impact in their ability to attract and retain talent.My hope is that we’re finally ready to build a more equitable, more representative workforce by truly fixing a system that’s always been broken. Growing up, I watched my immigrant mother continually make trade-offs between parenting and working—and because of the financial needs of our broader family, work often won. I remember how painful those choices were for her, and at the end of her 40-year career, her advice to me was: “Regardless of how hard you work, trying [to break the glass ceiling] is not worth it.” The past two years have proven that change is possible, as millions of people fundamentally reimagined how they work. But to make systemic change, leaders must redesign how they hire, evaluate, and promote women. And the time to change the system is now.
business	/article/amazon-strike-uk-pay	The Rebellion Amazon Can No Longer Ignore	The last time Amazon employee Darren Westwood was on strike, Amazon didn’t exist. He was working as a train guard and it was the 1980s—the only other time in recent British history when inflation surged past 9 percent.In the early hours of January 25, he’s on the picket line again outside Amazon’s giant Coventry warehouse, where he gets paid £10.46 ($12.90) per hour to work alongside a fleet of robots. Westwood, a member of the UK’s GMB Union, is here to campaign for higher pay. “When we started this protest, I think inflation was at 6 percent. Now we’re at 10.5 percent and people can't cope,” he says. “It just doesn’t feel fair. We’re doing 40 hours a week, stood up for 10 hours a day. And I’m still struggling to pay my bills.” Westwood is among a group of Amazon day shift employees, union representatives, and TV cameras waiting in nervous silence to see whether workers on the night shift will be bold enough to walk away from their workstations. A few minutes after midnight, four figures emerge from the mist and the crowd waiting for them erupts into cheers and applause. Others follow, walking in small groups. These are the first Amazon workers to officially go on strike in the UK. Among them is Mal (who declines to give his surname for reasons of privacy). “We are trying to fight for a pay rise,” he says. Thaddeus, who has worked at Amazon for three years, agrees. “Hopefully this strike will have a domino effect,” says Westwood, who is hoping other warehouses will follow Coventry’s example. The Coventry strike is expected to last for 24 hours, but organizers could announce further dates. 
business	/article/teslas-problems-elon-musk-twitter	Tesla’s Problems Go Way Beyond Elon Musk	For now, Alex Lagetko is holding on to his Tesla stocks. The founder of hedge fund VSO Capital Management in New York, Lagetko says his stake in the company was worth $46 million in November 2021, when shares in the electric carmaker peaked at $415. Since then, they have plunged 72 percent, as investors worry about waning demand, falling production and price cuts in China, labor shortages in Europe, and, of course, the long-term impact of CEO Elon Musk’s $44 billion acquisition of Twitter. After announcing his plans to buy the platform in April, Musk financed his acquisition with $13 billion in loans and $33 billion in cash, roughly $23 billion of which was raised by selling shares in Tesla. “Many investors, particularly retail, who invested disproportionately large sums of their wealth largely on the basis of trust in Musk over many years were very quickly burned in the months following the acquisition,” Lagetko says, “particularly in December as he sold more stock, presumably to fund losses at Twitter.”Lagetko trimmed his exposure in early 2022 due to concerns over Tesla's governance. But he is worried that the leveraged buyout of Twitter has left Tesla vulnerable, as interest payments on the debt Musk took on to fund the takeover come due at the same time as the social media company’s revenues have slumped.But Tesla stock was already falling in April 2022, when Musk launched his bid for Twitter, and analysts say that the carmaker’s challenges run deeper than its exposure to the struggling social media platform. Tesla and its CEO have alienated its core customers while its limited designs and high prices make it vulnerable to competition from legacy automakers, who have rushed into the EV market with options that Musk’s company will struggle to match.Prior to 2020, Tesla was essentially “playing against a B team in a soccer match,” says Matthias Schmidt, an independent analyst in Berlin who tracks electric car sales in Europe. But that changed in 2020, as “the opposition started rolling out some of their A squad players.”In 2023, Tesla is due to release its long-awaited Cybertruck, a blocky, angular SUV first announced in 2019. It is the first new launch of a consumer vehicle by the company since 2020. A promised two-seater sports car is still years away, and the Models S, X, Y, and 3, once seen as space-age dynamos, are now “long in the tooth,” says Mark Barrott, an automotive analyst at consultancy Plante Moran. Most auto companies refresh their looks every three to five years—Tesla’s Model S is now more than 10 years old.
business	/article/landlords-rentals-decentraland-metaverse	Metaverse Landlords Are Creating a New Class System	For the modest price of 10,000 MANA tokens (or $7,000) per day, anyone can rent land parcel 27,87 in Decentraland, a 3D virtual world that runs on the Ethereum blockchain. Renting the plot would give the tenant the right to build anything they please—a shop, an event space, an art installation, or whatever else—to host friendly passersby. But the real winner would be their landlord, who goes by the name Beatrix#7239, their virtual pockets bulging with cash. Not every property is as expensive as parcel 27,87, which is located in the center of the world map, close to where people first spawn into Decentraland. And no one has taken up the rental offer on these terms yet. However, a market for leasing virtual real estate is beginning to take shape, creating a new source of income for virtual landowners who buy up attractive spaces in the metaverse.In the past nine months, brands like Mastercard and Heineken have rented plots for one-off events or product showcases and, in December, Decentraland released tools that allow anyone to rent virtual land.The objective was to democratize access to the virtual world, explains Nico Rajco, who led the development of the rentals feature for Decentraland. Everybody benefits, he says, because renting gives new users an ideal “jumping-off point” and landowners can earn a passive income. But the rental system is also subtly changing the social fabric of the virtual world, dividing people into those who have and those who have not.When Decentraland launched in 2017, people were given the chance to purchase the ownership rights to 90,601 parcels of virtual land, each represented on the Ethereum blockchain by a non-fungible token (NFT). At the time, plots were sold for roughly $20 apiece, but by the end of 2021—at the height of the NFT boom—land was routinely changing hands for tens of thousands of dollars. One company, Metaverse Group, purchased a single Decentraland plot for $2.4 million.In line with the slump in the crypto market, demand for virtual real estate has cooled off, leaving landowners looking for new ways to profit from their investments. The new Decentraland rentals system gives them a way to do just that.The earliest adopters are mostly brands and artists that want to host events or put on shows in Decentraland, with tenancies ranging in duration from a single day to multiple months. The appetite for renting virtual real estate also remains small; there are currently around 300 plots listed on the marketplace and only 40 are occupied by tenants.
business	/article/ai-labor-interns	Infinite AI Interns for Everybody	Robert Solow, the Nobel Prize–winning economist, famously said in 1987 that you can see the computer revolution everywhere but in the productivity statistics. I predict 2023 is the year that finally changes, thanks to artificial intelligence. By the end of 2023, AI will be fast becoming one of the most important factors of production in the global economy.READ MOREThis story is from the WIRED World in 2023, our annual trends briefing. Read more stories from the series here—or download or order a copy of the magazine.It’s true that the history of AI is largely a history of disappointment: hype followed by “AI winters,” in which both talent and funding abandon the discipline. But this time, thanks to the deep learning revolution, it really is different. In 2023, we’ll see ordinary people, everywhere, enjoy the power of AI at their fingertips. What might this look like? Let’s say you need to create a marketing brochure for a new geography that your company is entering. Trained on the data set of all the material your firm has ever created, your AI assistant creates three options for you within minutes—each beautifully written and illustrated. They’re not perfect, yet, but what used to be a weeklong project becomes the work of a couple of hours.That’s just an example, but the critical point is that AI is on the cusp of giving us all superpowers. You will have the ability to generate an email or memo in your own voice (or anyone else’s for that matter) in seconds. You will be able to create photorealistic art—or even video—with a few bullet-points of instructions. You will be able to answer arbitrary scientific questions by having the AI “read” entire corpuses of academic literature. You will be able to delegate your bookkeeping and accounts to an AI algorithm. Some of this innovation will come from the usual suspects, like DeepMind and OpenAI. OpenAI has already released GPT-3 (a program which generates natural language) and DALL-E (which creates images from text) in beta, but we can expect these tools to be widely available soon. Excitingly, though, there’s also a new generation of startups that are demonstrating that you don’t need a billion-dollar budget to get to the cutting edge of AI. Take Midjourney or Stability AI, applications which produce results that rival DALL-E, or Causaly (disclosure: I’m an investor), which allows scientists to find new causal relationships in life sciences with natural language questions. Then there is a growing list of new AI startups with impressive backers and more general ambitions, like Anthropic (an AI safety and research firm), Conjecture (which seeks to keep damaging factors such as racial bias out of AI), and Keen Technologies, which was founded by computer science legend John Carmack.This is not a prediction about artificial general intelligence, still less about AI “replacing” humans. It’s hard to overstate, though, the impact of freeing up billions of hours of human labor and making creativity and knowledge too cheap to meter. I fully expect this to unleash a huge wave of entrepreneurship. Just as the advent of the internet gave every startup a vastly scalable distribution engine, the era of AI superpowers will give every startup a vastly scalable production engine. Tech analyst Benedict Evans said in 2018 that one way of thinking about AI is that it it’s like giving every company infinite interns. In 2023, those interns will be world-class copywriters, illustrators, and more—perhaps scientists, data analysts, or even negotiators. What would you build with a million such “interns” in the cloud, available on demand, 24/7, and at close to zero marginal cost? In 2023, we can expect thousands of entrepreneurs to show us.
business	/article/the-collapse-of-britishvolt	The Collapse of the UK’s Electric Vehicle Champion	Britishvolt was meant to be the UK’s answer to Tesla. By 2024, it was supposed to be producing hundreds of thousands of lithium-ion batteries a year for the British automotive sector, and driving an industrial renaissance for the economically deprived northeast of the country. Since its launch in 2019, the company had amassed nearly $2.5 billion in funding promises, including £100 million ($123 million) from the UK government, and preliminary deals to supply batteries to Aston Martin and Lotus.But barely nine months after it broke ground on its “gigafactory” in Northumberland in August 2022, Britishvolt has gone into administration, the equivalent of Chapter 11 bankruptcy in the US. The majority of its 232 staff are being made redundant.It’s a chaotic end to a startup that had enormous ambitions and was billed as a cornerstone of the UK’s electric vehicle industry. Its collapse has left staff, analysts, and policymakers scrambling to understand how it could have gone so wrong so fast, and what it means for the future of the UK’s battery business.“In some ways, I am surprised,” one former employee, who left the company in December, tells WIRED, speaking on condition of anonymity. “The business had ambitious plans, and from the people I worked with, the knowledge and experience to execute them.”Britishvolt was founded by Swedish entrepreneurs Orral Nadjari and Lars Carlstrom in 2019. Neither had experience in the electric vehicle space, but they approached the endeavor more like startup founders than industrialists by bootstrapping, and making bold promises of future growth.“It was always going to be difficult,” says David Bailey, professor of business economics at Birmingham Business School in the UK. “They didn't have a track record in technology development. They hadn't secured all the funding needed to build out the factory for about £3.8 billion. And they didn't have any big customers.” But the company’s vision supported the UK government’s narrative of “leveling up”—supporting the development of struggling, often postindustrial, areas of the country. Britishvolt’s factory in the northeast promised to create 3,000 new jobs, with another 5,000 in its supply chain. Announcing that the government would provide the company with funding in 2022, then-prime minister Boris Johnson called the facility “a strong testament to the skilled workers of the North East and the UK’s place at the helm of the global green industrial revolution.”
business	/article/twitter-sudden-death-vaccine-conspiracies	Twitter Is a Megaphone for ‘Sudden Death’ Vaccine Conspiracies	When British radio DJ Tim Gough passed away suddenly during a broadcast in October 2022, his friend and colleague James Hazell barely had time to mourn before the trolling began. “They didn’t even give him time to go cold. They were straight on it with some vile messages,” Hazell says.Anti-vaccine conspiracy theorists seized upon Gough’s death, reportedly from a suspected heart attack, and turned his Twitter and Instagram feeds into a storm of disinformation and abuse. “Don’t worry. Safe and very very effective. Perfect for euthanasia also!!!! [sic],” one Twitter user posted. “Death vax,” wrote another. Gough’s accounts, and the Twitter feed of GenX Radio in Suffolk, UK, where he and Hazell worked, were “besieged with abuse,” Hazell says. “They didn’t seem to care about the actual situation of a human dying.”Gough’s is just one of dozens of sudden deaths and medical emergencies that have been exploited by anti-vaccine campaigners, who claim—without evidence—that Covid shots are to blame. It is a tactic they have used before, but analysis by misinformation experts shows that Twitter, which has stopped policing Covid-19 misinformation and restored thousands of previously banned accounts, has helped supercharge the narrative since Elon Musk took over the platform in October 2022. “It has opened the floodgates for conspiracy theorizing and misinformation,” says Timothy Graham, a misinformation expert at the Queensland University of Technology (QUT) in Australia.Twitter did not respond to WIRED’s request for comment. The company reportedly no longer has a media team.In recent months, conspiracy theorists have gravitated toward the news of several high-profile deaths, including that of singer Terry Hall, from British ska band The Specials, in December. Illnesses that have been baselessly blamed on the vaccine include a suspected heart attack—in fact, a panic attack— suffered by musician Rod Stewart’s 11-year-old son, and an eye condition that hospitalized singer Tom Fletcher, from the pop group McFly. In January 2023, anti-vaxxers claimed without basis that the death of musician Lisa-Marie Presley, from a suspected heart attack, was due to her having taken the vaccine.In the US, NFL player Damar Hamlin’s mid-game collapse after a cardiac arrest in January prompted a tsunami of conspiratorial claims attributing his illness to Covid-vaccine-induced myocarditis. While some vaccines have been found to cause inflammation of the heart, experts say cases are rare and usually short-lived, and Covid itself is more likely to cause myocarditis than the vaccine. Studies also indicate that cardiac arrest was a leading cause of unexplained deaths among athletes well before the vaccine rollouts. Tests to determine the cause of Hamlin’s cardiac arrest are reportedly ongoing.
business	/article/heathrow-radioactive-cargo-screening	How Airports Catch Illicit Radioactive Cargo	It was just another package among millions flowing through the Heathrow Airport system. Except this one was radioactive. On December 29, 2022, a detector at the London airport flagged the package, and staff took action to isolate it. They soon found out that it contained uranium—a naturally occurring element that, after a complex process of enrichment, can be used in nuclear reactors and weapons.The uranium was found among scrap metal in a shipment from Pakistan destined for a UK address associated with an Iranian business, according to reports. The Metropolitan Police’s Counter Terrorism Command branch is now investigating. Pakistan’s foreign ministry has denied that the uranium originated in the country.What you might not realize is that detections of undeclared radioactive material at transport hubs and ports of entry happen multiple times every year in the United Kingdom alone. All over the world, security teams screen for radioactive material on the move. This monitoring takes many forms, including covert detectors hidden in the walls at airports that silently scan passengers. Customs officials wave handheld radiation-sniffing devices over boxes. And drones, loaded with sensors, can fly across wide areas while searching for lost radioactive objects.Even so, some potentially harmful material can slip through the net, as the uranium did—until it got to Heathrow.“I want to reassure the public that the amount of contaminated material was extremely small and has been assessed by experts as posing no threat to the public,” Commander Richard Smith of London’s Metropolitan Police said in a statement. He added that the uranium did not appear to be linked to any direct threat. No arrests have been made so far.The uranium almost certainly posed no danger, says Bahram Ghiassee of the Henry Jackson Society, a think tank that focuses on anti-extremism. “Uranium in its natural form, or enriched, poses very little threat to public health,” he explains, noting that it is a relatively weak radioactive material.Ghiassee, who published a report last year on the threat of radiological terrorism, also criticizes suggestions in some news coverage that the uranium found at Heathrow could have been intended for use in a dirty bomb: “For dirty bombs, you need highly radioactive material … and uranium is not suitable at all.”
business	/article/startup-tailoring-sojo	On-Demand Tailoring Brings the Gig Economy to Your Wardrobe	It started with a charity shop off London’s Portobello Road, and the perfect pinstripe suit. Well, almost perfect. “I totally loved it, but it didn’t fit me. So I had the idea for building an app,” explains Josephine Philips, the founder of Sojo, a startup that wants to bring tailoring “into the modern age.”Nicknamed “the Deliveroo of fashion repairs,” Sojo was launched in January 2021, and connects users with nearby seamsters while facilitating the pickup and return of clothes using a network of couriers. Independent seamsters register on the app and set their own price for their work, from fixing holes to altering sizes, with Sojo taking a 30 percent fee. That very same pinstripe suit ended up being one of the app’s first orders.“I experienced going to a tailor, and it was so archaic, it was really backward,” says Philips. “It's not an activity that’s common, and we want to make it common. We want every young person to be engaged with repairs and alterations.” It’s an issue made all the worse by the fact that two thirds of fixable clothes are thrown away.Eighteen months after launch, Sojo is a different beast, fresh from a new $2.4 million funding round, a partnership with Scandinavian fashion brand Ganni, and a hiring push that should see it reach 16 staff. It’s also been a seismic change for Philips. The 24-year-old started working on Sojo full-time straight after graduating from university—her only previous jobs being as a waitress and as a summer intern at second-hand clothing exchange Depop. For those first few months, Sojo was a one-woman show, powered mostly by a mixture of overtime and youthful passion to change the “culture of waste” and “exploitation” that defines the fast fashion industry, from which Philips built up her initial, limited network of couriers and seamsters.“That youth meant I saw the way the system was working and was like, ‘I can actually change that’ … That kind of outlook was definitely a superpower,” says Philips. “But there was a lot going on. Never having done something like this before meant I was learning and doing simultaneously.”As a Black female founder, Philips found herself in an industry where women-led startups account for only 2.8 percent of VC funding. In fact, according to one report, between 2009 and 2019, only one Black female founder in the UK raised any Series A funding at all. “Everyone knows what the venture capital space is for under-represented founders … The numbers speak for themselves,” Philips says, explaining she would regularly get rejected by investors, only to see white male counterparts with little more than “a PowerPoint” making pitches and “getting millions straight off the bat.”Eventually, Sojo was able to secure backers, initially through an angel round with an array of big-name investors, including Depop founder Simon Beckerman. The latest Series A round was led by female-directed VC firm CapitalT.
